plate,state,license_type,summons_number,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,issuing_agency,summons_image,violation_time,county,violation_status,issue_date,judgment_entry_date
BLANKPLATE,99,999,1473771912,MISCELLANEOUS,0,0,0,0,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZZek5OVkd0NFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
GWK9271,NY,PAS,1471658028,BEYOND MARKED SPACE,45,0,0,45,45,45,107,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVXVEZQUkVGNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:15P,Q,HEARING PENDING,,
BLANKPLATE,99,999,1455872842,FIRE HYDRANT,115,0,0,115,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VNVVaek5OYW1jd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:11P,,,,
BLANKPLATE,99,999,1426003055,REG. STICKER-EXPIRED/MISSING,65,0,0,65,0,0,040,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNXFRWGROZWtFeFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
BLANKPLATE,99,999,1451022219,MISCELLANEOUS,0,0,0,0,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMVVRWGxOYWtsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
HPK2083,NY,PAS,1420103131,INSP. STICKER-EXPIRED/MISSING,65,0,0,65,0,0,025,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVMUVSWGROZWtWNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",00:00A,,,,
FFZ7198,NY,PAS,1405797526,OBSTRUCTING DRIVEWAY,95,0,0,95,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmQwNVVZelZPZWxWNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:49A,Q,HEARING HELD-NOT GUILTY,,
BLANKPLATE,99,999,1405210989,NO PARKING-STREET CLEANING,45,0,0,45,0,0,104,DEPARTMENT OF SANITATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmQwNVVTWGhOUkdzMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
BLANKPLATE,99,999,1271713305,MISCELLANEOUS,0,0,0,0,0,0,000,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSSk0wMVVZM2hOZWsxM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",00:00A,Q,HEARING HELD-GUILTY,,
BLANKPLATE,99,999,1434159012,MISCELLANEOUS,0,0,0,0,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrNUVSVEZQVkVGNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",00:00P,Q,,,
